nr,filename,name,type,tapered_type,shape,shape_type,exact_stock_shape,diameter_mm,cutting_edge_height_mm,length_mm,shank_diameter_mm,flutes,angle_half_deg,included_angle_deg,tip_diameter_mm,tip_radius_mm,drill_point_angle_deg,product_id,description
1,15deg_V-Bit_0.200mm_Tip_WC04A.fctb,15deg V-Bit 0.200mm Tip [WC04A],chamfer mill,,v-bit.fcstd,VBit,True,5.0,17.5,50,6.35,2,7.5,15.0,0.2,,,WC04A,"Genmitsu V 15° engraving [WC04A], Nano Blue Coat"
2,20deg_V-Bit_0.200mm_Tip_WC04A.fctb,20deg V-Bit 0.200mm Tip [WC04A],chamfer mill,,v-bit.fcstd,VBit,True,6.15,17.0,50,6.35,2,10.0,20.0,0.2,,,WC04A,"Genmitsu V 20° engraving [WC04A], Nano Blue Coat"
3,60deg_V-Bit_0.200mm_Tip_WC04A.fctb,60deg V-Bit 0.200mm Tip [WC04A],chamfer mill,,v-bit.fcstd,VBit,True,6.35,14.0,50,6.35,2,30.0,60.0,0.2,,,WC04A,"Genmitsu V 60° groove [WC04A], Nano Blue Coat"
4,90deg_V-Bit_0.200mm_Tip_WC04A.fctb,90deg V-Bit 0.200mm Tip [WC04A],chamfer mill,,v-bit.fcstd,VBit,True,6.35,13.0,50,6.35,2,45.0,90.0,0.2,,,WC04A,"Genmitsu V 90° groove [WC04A], Nano Blue Coat"
5,6.350mm_Ball_Nose_VR06A.fctb,6.350mm Ball Nose [VR06A],ball end mill,,ballend.fcstd,Ballend,True,6.35,12.7,50,6.35,2,,,,,,VR06A,Genmitsu ball nose groove [VR06A]
6,9.525mm_Ball_Nose_VR06A.fctb,9.525mm Ball Nose [VR06A],ball end mill,,ballend.fcstd,Ballend,True,9.525,20.0,52,6.35,2,,,,,,VR06A,Genmitsu ball nose groove [VR06A]
7,12.700mm_Ball_Nose_VR06A.fctb,12.700mm Ball Nose [VR06A],ball end mill,,ballend.fcstd,Ballend,True,12.7,20.0,52,6.35,2,,,,,,VR06A,Genmitsu ball nose groove [VR06A]
8,90deg_V-Bit_VR06A.fctb,90deg V-Bit [VR06A],chamfer mill,,v-bit.fcstd,VBit,True,6.35,6.35,44,6.35,2,45.0,90.0,0.0,,,VR06A,Genmitsu V 90° groove [VR06A]
9,90deg_V-Bit_VR06A_2.fctb,90deg V-Bit [VR06A],chamfer mill,,v-bit.fcstd,VBit,True,9.525,9.525,42,6.35,2,45.0,90.0,0.0,,,VR06A,Genmitsu V 90° groove [VR06A]
10,90deg_V-Bit_VR06A_3.fctb,90deg V-Bit [VR06A],chamfer mill,,v-bit.fcstd,VBit,True,12.7,12.7,44,6.35,2,45.0,90.0,0.0,,,VR06A,Genmitsu V 90° groove [VR06A]
11,60deg_V-Bit_0.200mm_Tip_VG05B_NLJ3.6002.fctb,60deg V-Bit 0.200mm Tip [VG05B (NLJ3.6002)],chamfer mill,,v-bit.fcstd,VBit,True,3.175,9.0,40,3.175,1,30.0,60.0,0.2,,,VG05B (NLJ3.6002),"Genmitsu V 60° groove [VG05B (NLJ3.6002)], Nano Blue Coat"
12,60deg_V-Bit_0.100mm_Tip_VG05B_NLJ3.6001.fctb,60deg V-Bit 0.100mm Tip [VG05B (NLJ3.6001)],chamfer mill,,v-bit.fcstd,VBit,True,3.175,7.0,40,3.175,1,30.0,60.0,0.1,,,VG05B (NLJ3.6001),"Genmitsu V 60° groove [VG05B (NLJ3.6001)], Nano Blue Coat"
13,45deg_V-Bit_0.200mm_Tip_VG05B_NLJ3.4502.fctb,45deg V-Bit 0.200mm Tip [VG05B (NLJ3.4502)],chamfer mill,,v-bit.fcstd,VBit,True,3.175,8.0,40,3.175,1,22.5,45.0,0.2,,,VG05B (NLJ3.4502),"Genmitsu V 45° groove [VG05B (NLJ3.4502)], Nano Blue Coat"
14,30deg_V-Bit_0.100mm_Tip_VG05B_NLJ3.3001.fctb,30deg V-Bit 0.100mm Tip [VG05B (NLJ3.3001)],chamfer mill,,v-bit.fcstd,VBit,True,3.175,8.0,40,3.175,1,15.0,30.0,0.1,,,VG05B (NLJ3.3001),"Genmitsu V 30° groove [VG05B (NLJ3.3001)], Nano Blue Coat"
15,20deg_V-Bit_0.100mm_Tip_VG05B_NLJ3.2001.fctb,20deg V-Bit 0.100mm Tip [VG05B (NLJ3.2001)],chamfer mill,,v-bit.fcstd,VBit,True,3.175,10.0,40,3.175,1,10.0,20.0,0.1,,,VG05B (NLJ3.2001),"Genmitsu V 20° groove [VG05B (NLJ3.2001)], Nano Blue Coat"
16,60deg_V-Bit_VG05A.fctb,60deg V-Bit [VG05A],chamfer mill,,v-bit.fcstd,VBit,True,16.0,13.856,49,6.0,2,30.0,60.0,0.0,,,VG05A,Genmitsu V 60° groove [VG05A]
17,90deg_V-Bit_VG05A.fctb,90deg V-Bit [VG05A],chamfer mill,,v-bit.fcstd,VBit,True,22.0,11.0,46,6.0,2,45.0,90.0,0.0,,,VG05A,Genmitsu V 90° groove [VG05A]
18,120deg_V-Bit_VG05A.fctb,120deg V-Bit [VG05A],chamfer mill,,v-bit.fcstd,VBit,True,22.0,6.351,42,6.0,2,60.0,120.0,0.0,,,VG05A,Genmitsu V 120° groove [VG05A]
19,60deg_V-Bit_VG05A_2.fctb,60deg V-Bit [VG05A],chamfer mill,,v-bit.fcstd,VBit,True,32.0,28.0,63,6.0,2,30.0,60.0,0.0,,,VG05A,Genmitsu V 60° groove [VG05A]
20,150deg_V-Bit_VG05A.fctb,150deg V-Bit [VG05A],chamfer mill,,v-bit.fcstd,VBit,True,32.0,4.287,40,6.0,2,75.0,150.0,0.0,,,VG05A,Genmitsu V 150° groove [VG05A]
21,90deg_V-Bit_VG03A.fctb,90deg V-Bit [VG03A],chamfer mill,,v-bit.fcstd,VBit,True,10.0,12.0,50,6.0,2,45.0,90.0,0.0,,,VG03A,Genmitsu V 90° groove [VG03A]
22,60deg_V-Bit_VG03A.fctb,60deg V-Bit [VG03A],chamfer mill,,v-bit.fcstd,VBit,True,12.7,17.0,50,6.35,2,30.0,60.0,0.0,,,VG03A,Genmitsu V 60° groove [VG03A]
23,90deg_V-Bit_VG03A_2.fctb,90deg V-Bit [VG03A],chamfer mill,,v-bit.fcstd,VBit,True,12.7,12.0,50,6.35,2,45.0,90.0,0.0,,,VG03A,Genmitsu V 90° groove [VG03A]
